Customer ID,Total_Orders,Total_Profit,Sales,Avg_Discount,Segment,Region,Furniture_Profit,Technology_Profit,Office_Supplies_Profit,Multi_Category,First_Category,has_furniture,has_technology,has_office,Customer_Group
AA-10315,11,-362.8825,5563.56,0.09090909090909091,Consumer,Central,6.2608,38.1347,-407.278,2,Office Supplies,1,1,0,Furniture + Technology
AA-10375,15,277.3824,1056.39,0.08000000000000002,Consumer,West,11.076,195.2302,71.0762,3,Office Supplies,1,1,1,All Three
AA-10480,12,435.8274,1790.5120000000002,0.016666666666666666,Consumer,South,108.4104,221.9814,105.4356,3,Office Supplies,1,1,1,All Three
AA-10645,18,857.8033,5086.9349999999995,0.06388888888888888,Consumer,East,648.8833999999999,63.6743,145.2456,3,Furniture,1,1,1,All Three
AB-10015,6,129.3465,886.156,0.06666666666666667,Consumer,West,60.1937,62.1544,6.998399999999999,3,Technology,1,1,1,All Three
AB-10060,18,2054.5885,7755.62,0.044444444444444446,Home Office,East,334.5016,63.793,1656.2939,3,Office Supplies,1,1,1,All Three
AB-10105,20,5444.8055,14473.570999999998,0.24,Consumer,West,-75.205,166.7257,5353.2848,2,Office Supplies,0,1,1,Other
AB-10150,12,313.6597,966.71,0.13333333333333333,Consumer,East,-13.993,217.1317,110.521,2,Office Supplies,0,1,1,Other
AB-10165,14,220.813,1113.838,0.13571428571428573,Consumer,West,38.4984,22.018,160.2966,3,Furniture,1,1,1,All Three
AB-10255,14,264.5675,914.5319999999999,0.1,Home Office,East,7.3788,103.5031,153.6856,3,Office Supplies,1,1,1,All Three
AB-10600,8,-274.9604,1515.862,0.375,Corporate,West,-145.0416,-84.87,-45.0488,0,Office Supplies,0,0,0,Other
AC-10420,5,-62.1342,925.8,0.32,Corporate,West,-17.4588,0.0,-44.6754,0,Office Supplies,0,0,0,Other
AC-10450,9,1366.0098,5527.846,0.18888888888888888,Consumer,Central,0.0,82.7833,1283.2265,2,Office Supplies,0,1,1,Other
